no,booking_id,user_id,property_id,city,room_type,check_in,check_out,nights_stayed,guests_count,total_amount,price_per_night,status,payment_method,booking_channel,created_at,updated_at
1,18164,51555,10366,Lisbon,Entire home,06-04-25,12-04-25,6,2,959.69,159.95,confirmed ,credit_card,web,2025-03-29T17:09:03.000Z,2025-04-03T03:07:47.000Z
2,18182,18878,16653,CAPE TOWN,Entire home,16-06-25,19-06-25,3,2,457.95,152.65,Confirmed,,web,2024-10-23T06:16:39.000Z,2025-05-30T22:21:45.000Z
3,18206,109321,8059,Tokyo,Entire home,13-07-25,17-07-25,4,1,542,135.5,confirmed,credit_card,web,2025-04-27T06:30:39.000Z,2025-07-08T00:56:26.000Z
4,18168,112720,7668,reykjavik,Entire home,07-09-24,08-09-24,1,4,701.52,701.52,completed,credit_card,web,2024-03-05T03:06:06.000Z,2024-09-08T23:59:59.000Z
5,18202,34311,13320,bali,Entire home,19-03-25,22-03-25,3,2,297.92,99.31,pending,apple_pay,web,2025-03-05T17:51:46.000Z,2025-03-10T00:51:21.000Z
6,18165,37876,6452,,Shared room,18-05-25,22-05-25,4,2,654.3,163.57,pending,credit_card,mobile_app,2025-05-01T14:05:54.000Z,2025-05-18T23:59:56.000Z
7,18197,43301,16381,Tokyo,Entire home,31-05-24,05-06-24,,1,700.64,140.13,pending,credit_card,partner,2024-03-30T21:08:13.000Z,2024-04-01T13:51:12.000Z
8,18171,9768,11821,Bali,Entire home,13-06-25,16-06-25,3,1,742.2,247.4,cancelled,credit_card,mobile_app,2025-04-05T02:49:34.000Z,2025-06-06T00:25:14.000Z
9,18186,20185,4634,Reykjavik,Private room,16-06-25,20-06-25,4,1,927,231.75,completed,credit_card,web,2025-05-01T12:59:21.000Z,2025-06-20T23:59:59.000Z
10,18194,46938,263,Lisbon,Entire home,21-06-25,25-06-25,4,4,552.63,138.16,pending,paypal,,2025-02-16T12:59:45.000Z,2025-04-18T21:13:28.000Z
11,18184,34181,14970,Reykjavik,Entire home,23-04-24,26-04-24,3,7,1017.13,339.04,pending,apple_pay,mobile_app,2024-03-23T07:52:13.000Z,2024-04-11T21:59:33.000Z
12,18172,47430,16830,Capetown,Entire home,18-05-25,21-05-25,3,1,681.95,227.32,Cancelled,credit_card,mobile_app,2025-05-11T01:05:34.000Z,2025-05-18T01:07:53.000Z
